Date,Open,High,Low,Close,Volume
02/10/23 11:30,254.07,254.28,242.945,251.437,8603344
02/10/23 11:00,250.25,254.19,250.12,254.07,9526044
02/10/23 10:30,248.15,251.68,247.402,250.25,10702229
02/10/23 10:00,246.13,250.78,245.82,248.102,15072412
02/10/23 9:30,244.81,248.81,242.62,246.13,20333221
02/10/23 9:00,245.48,254.02,239.35,244.87,3328858
02/10/23 8:30,250.19,250.35,245.48,245.48,460331
02/10/23 8:00,250.6,253.43,249.72,250.16,413920
02/10/23 7:30,251.51,251.53,250.55,250.64,112957
02/10/23 7:00,251.19,251.65,250.95,251.5,122192
02/10/23 6:30,251.17,251.56,251,251.12,37667
02/10/23 6:00,250.91,251.58,250.85,251.14,67386
02/10/23 5:30,251.82,251.92,250.6,250.98,59865
02/10/23 5:00,252.17,252.17,251.61,251.8,44268
02/10/23 4:30,252.18,252.71,252,252.17,52686
02/10/23 4:00,253.33,253.52,251.72,252.23,100820
